n_stock,industry_ret,top_mean_excess,bottom_mean_excess,k_spread,k_score,dispersion_std,iqr_excess,positive_ratio,negative_ratio,date,industry,window,k_zscore,k_pct
60,-0.04550159881062593,0.11996796884439508,-0.0593100667097116,0.17927803555410668,0.17927803555410668,0.06825461023404467,0.07057854473902303,0.6333333333333333,0.36666666666666664,2026-06-23,工业金属,3,2.60502433868304,0.9723320158102767
33,0.06269903424348008,0.06780638282623253,-0.14323104435560335,0.21103742718183588,0.21103742718183588,0.08261978569520834,0.07410217328219293,0.15151515151515152,0.8484848484848485,2026-06-23,其他电子Ⅱ,3,2.337487643187008,0.9683794466403162
171,0.052705521168187316,0.09092081033468374,-0.1027389361377735,0.19365974647245726,0.19365974647245726,0.07218760951069667,0.07861737173176175,0.3391812865497076,0.6608187134502924,2026-06-23,半导体,3,2.1703525377111528,0.9644268774703557
178,0.01990968264428464,0.08635449005904722,-0.0782467688794987,0.16460125893854594,0.16460125893854594,0.0629716605137374,0.0545229983701484,0.3707865168539326,0.6292134831460674,2026-06-23,化学制品,3,2.364717923895406,0.9644268774703557
21,-0.029929039607871334,0.07272580472515397,-0.04421082197659384,0.11693662670174781,0.11693662670174781,0.04687175938806822,0.03604716606955627,0.8095238095238095,0.19047619047619047,2026-06-23,养殖业,3,2.3161534722560355,0.9644268774703557
34,-0.01482476922243814,0.08771873660234851,-0.06878936522597139,0.1565081018283199,0.1565081018283199,0.05673090233110015,0.06992337085175937,0.5294117647058824,0.47058823529411764,2026-06-23,装修建材,3,2.0342514306352792,0.9604743083003953
22,-0.021087941532099606,0.06266018377705537,-0.062307566863282066,0.12496775064033744,0.12496775064033744,0.04576347738464483,0.04066508929369128,0.7272727272727273,0.2727272727272727,2026-06-23,种植业,3,2.146207443199287,0.9604743083003953
235,0.011820855384676983,0.09894439077120819,-0.08134455192777625,0.18028894269898443,0.18028894269898443,0.07260496624762786,0.06735929695817733,0.35319148936170214,0.6468085106382979,2026-06-23,通用设备,3,2.07863177274866,0.9565217391304348
129,0.021292938711304096,0.07619057258003212,-0.07662275450255279,0.1528133270825849,0.1528133270825849,0.06048363932551803,0.055475771515193006,0.31007751937984496,0.689922480620155,2026-06-23,软件开发,3,1.90140913583656,0.9525691699604744
16,0.007196295407413559,0.121261889900596,-0.055214570704643945,0.17647646060523994,0.17647646060523994,0.07396667469529804,0.06728627016340727,0.5,0.5,2026-06-23,装修装饰Ⅱ,3,1.5930399692209378,0.9486166007905138
